iter	RMSE
0	1.527934632
1	1.410007126
2	1.301842968
3	1.203382087
4	1.122244515
5	1.045889433
6	0.9818545249
7	0.9163178778
8	0.8664125897
9	0.8177943732
10	0.7746749101
11	0.7370487039
12	0.7019095384
13	0.6722817178
14	0.6429493836
15	0.6186872571
16	0.597860779
17	0.5785855823
18	0.5625180627
19	0.5472042491
20	0.5324557596
21	0.5195616924
22	0.5082727716
23	0.498593948
24	0.4898054933
25	0.4811780342
26	0.4732820803
27	0.4667402251
28	0.4595558691
29	0.454119116
30	0.4489302787
31	0.4439660573
32	0.4393629197
33	0.4353398996
34	0.4321882996
35	0.4290769608
36	0.4262586778
37	0.4235899069
38	0.4215381741
39	0.4187286572
40	0.4149036812
41	0.412942707
42	0.4106272377
43	0.4086784927
44	0.4067411168
45	0.4046416272
46	0.403284042
47	0.4011172958
48	0.399830185
49	0.3987717138
50	0.3973041496
51	0.395790581
52	0.3944043507
53	0.3935510124
54	0.3923096736
55	0.3914159188
56	0.390421328
57	0.3888682922
58	0.3879343084
59	0.3870901299
60	0.3848639704
61	0.3839608023
62	0.383331315
63	0.3826047366
64	0.3820466324
65	0.3807277543
66	0.3786271795
67	0.3764739973
68	0.3759065476
69	0.3749048809
70	0.3737343123
71	0.3722882562
72	0.3713878863
73	0.3706916046
74	0.3688334136
75	0.3680031569
76	0.3664743402
77	0.3657359476
78	0.365205716
79	0.3647479776
80	0.3638056259
81	0.363025353
82	0.3624284475
83	0.3612826922
84	0.3585636233
85	0.3575513541
86	0.3566877932
87	0.3554345444
88	0.3524682349
89	0.350948492
90	0.3497178652
91	0.3484693642
92	0.3475297887
93	0.3458865939
94	0.3448779178
95	0.3421054047
96	0.3414196725
97	0.3393327167
98	0.338882103
99	0.3377196818
100	0.337088036
101	0.3362107941
102	0.3349346907
103	0.3342539785
104	0.3335387071
105	0.3328311069
106	0.3308183816
107	0.329442495
108	0.3275861936
109	0.3271674713
110	0.3266390428
111	0.325820646
112	0.3236459537
113	0.3227931003
114	0.321223029
115	0.3203504127
116	0.3197274213
117	0.318004139
118	0.317401361
119	0.317075376
120	0.316394987
121	0.3155773956
122	0.3149719631
123	0.3144095339
124	0.3132777923
125	0.3116526023
126	0.3108037163
127	0.3098883122
128	0.3086717735
129	0.3079052406
