iter	Passed	Remaining
0	1	1276
1	2	1242
2	3	1204
3	4	1190
4	5	1166
5	7	1180
6	8	1159
7	9	1160
8	10	1147
9	11	1140
10	12	1124
11	13	1116
12	14	1107
13	15	1096
14	16	1088
15	17	1086
16	18	1077
17	19	1072
18	20	1077
19	21	1073
20	22	1065
21	24	1071
22	25	1065
23	26	1061
24	27	1058
25	28	1052
26	29	1046
27	30	1042
28	30	1037
29	31	1032
30	33	1035
31	34	1032
32	35	1029
33	36	1035
34	37	1032
35	38	1034
36	39	1033
37	40	1032
38	41	1029
39	42	1027
40	43	1025
41	44	1022
42	45	1022
43	46	1019
44	47	1017
45	48	1016
46	50	1015
47	51	1014
48	52	1014
49	53	1013
50	54	1012
51	55	1010
52	56	1007
53	57	1005
54	58	1003
55	59	1000
56	60	997
57	61	994
58	62	992
59	63	990
60	64	988
61	65	988
62	66	987
63	67	987
64	68	986
65	69	985
66	70	985
67	71	984
68	72	981
69	73	979
70	74	976
71	75	974
72	76	972
73	77	971
74	78	969
75	79	967
76	80	966
77	81	966
78	82	964
79	83	963
80	84	961
81	85	960
82	86	959
83	87	957
84	88	955
85	89	955
86	90	953
87	91	952
88	92	951
89	94	951
90	95	950
91	96	948
92	97	948
93	98	947
94	99	947
95	100	946
96	101	945
97	102	945
98	103	944
99	104	943
100	105	942
101	106	941
102	107	940
103	109	939
104	110	938
105	111	936
106	112	935
107	113	934
108	114	934
109	115	933
110	116	932
111	117	932
112	118	931
113	119	929
114	120	928
115	121	927
116	122	926
117	123	925
118	124	923
119	125	922
120	126	920
121	127	920
122	129	920
123	130	919
124	131	918
125	132	917
126	133	916
127	134	915
128	135	915
129	136	913
130	137	912
131	138	910
132	139	909
133	140	908
134	141	907
135	142	905
136	143	905
137	144	903
138	145	902
139	146	902
140	147	901
141	148	899
142	150	899
143	151	898
144	152	896
145	153	895
146	154	894
147	155	892
148	156	891
149	157	890
150	158	889
151	159	888
152	160	887
153	161	886
154	162	886
155	163	885
156	164	884
157	165	883
158	166	882
159	167	881
160	168	879
161	169	878
162	170	877
163	171	875
164	172	874
165	173	872
166	174	871
167	175	870
168	176	869
169	177	868
170	178	867
171	179	866
172	181	865
173	182	864
174	183	863
175	184	862
176	185	861
177	186	860
178	187	859
179	188	858
180	189	856
181	190	855
182	191	854
183	192	853
184	193	852
185	194	851
186	195	850
187	196	850
188	197	849
189	198	848
190	199	846
191	200	845
192	202	844
193	202	843
194	203	842
195	204	840
196	206	839
197	207	839
198	208	838
199	209	837
200	210	836
201	211	835
202	212	834
203	213	833
204	214	832
205	215	831
206	216	829
207	217	828
208	218	827
209	219	825
210	220	824
211	221	823
212	222	822
213	223	821
214	224	820
215	226	821
216	227	820
217	228	818
218	229	817
219	230	816
220	231	815
221	232	814
222	233	812
223	234	811
224	235	810
225	236	809
226	237	808
227	238	807
228	239	805
229	240	804
230	241	803
231	242	802
232	243	800
233	244	799
234	245	798
235	246	797
236	247	796
237	248	795
238	249	794
239	250	793
240	251	792
241	252	791
242	253	790
243	254	789
244	255	788
245	256	787
246	257	785
247	258	784
248	259	783
249	260	782
250	261	781
251	262	780
252	263	779
253	264	778
254	266	777
255	267	776
256	268	775
257	269	774
258	270	773
259	271	772
260	272	770
261	273	769
262	274	768
263	275	767
264	276	766
265	277	765
266	278	764
267	279	763
268	280	762
269	281	761
